Id,English name,Effect description,Ref Id,Sfx Variation Id,Weight [kg],Behavior Id,Basic Price,Sell Value,Sort Id,qwcId,equipModelId,iconId,shopLv,trophySGradeId,trophySeqId,equipModelCategory,equipModelGender,accessoryCategory,refCategory,spEffectCategory,Vagrant Item Id,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,Can be Deposited,Broken when removed,disableMultiDropShare,Japanese name,Name,English Description
114,White Seance Ring,Grants additional attunement slots,2040,-1,0,0,0,100,20,0,0,4014,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,魔法スロットアップ,Magic slot up,"A divine ring entrusted to the head bishop\nof the Way of White and apostle to\nAllfather Lloyd, uncle to Lord Gwyn.\nIt grants additional attunement slots.\n\nThe head bishop of the Way of White is the\nguardian of law and caste, and one of the\ngreat royals of Thorolund."
115,Bellowing Dragoncrest Ring,Boosts sorcery,2050,-1,0,0,0,100,16,0,0,4015,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,魔法威力アップ,Magic power up,"A special ring granted to only the most\naccomplished sorcerers at Vinheim Dragon\nSchool.\n\nThe ring is engraved with an everlasting\ndragon, and boosts the strength of sorceries."
116,Dusk Crown Ring,"Grants extra sorcery castings, but halves HP",2060,-1,0,0,0,1000,19,0,0,4016,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,MP偏重,MP overemphasis,"This magic crown-shaped ring was granted\nto princess Dusk of Oolacile upon her birth.\n\nThe ringstone allows its wearer to cast\nadditional sorceries, but at the cost of\none-half of HP."
117,Hornet Ring,Boosts critical attacks,36,-1,0,0,0,1000,28,0,0,4017,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,致命攻撃力アップ,Fatal attack power up,"One of the special rings granted to the four\nknights of Gwyn. The Hornet Ring belonged\nto the Lord's Blade Ciaran.\n\nBy boosting critical attacks, its wearer can\nannihilate foes, as Ciaran's dagger laid\nwaste to Lord Gwyn's enemies."
119,Hawk Ring,Extends bow range,2080,-1,0,0,0,100,27,0,0,4019,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,弓の達人,Master of the bow,"One of the special rings granted to the four\nknights of Gwyn. The Hawk Ring belonged to\nHawkeye Gough, who led the Greatarchers.\n\nBoosts bow range, so that arrows fly like\nthey were shot by Gough's great bow,\nwhich took down high-flying dragons."
120,Ring of Steel Protection,Boosts defense vs. physical attacks,2023,-1,0,0,0,100,4,0,0,4020,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,物理防御力アップ,Physical Def up,"This ring belonged to the Knight King Rendal.\nIt grants its wearer protection by boosting\ndefense against physical attacks.\n\nOf the many legends surrounding the Knight\nKing Rendal, one of the more well-known\nspeaks of his standing down a giant drake\nand slashing it to pieces."
121,Covetous Gold Serpent Ring,Boosts item discovery,2100,-1,0,0,0,100,32,0,0,4021,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,アイテムドロップアップ,Dropped up,"The serpent is an imperfect dragon and symbol\nof the Undead. Its habit of devouring prey\neven larger than itself has led to an\nassociation with gluttony.\n\nThis gold ring, engraved with the serpent,\nboosts its wearer's item discovery, so that\nmore items can be amassed."
122,Covetous Silver Serpent Ring,Additional souls absorbed for each kill,2101,-1,0,0,0,100,33,0,0,4022,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,取得ソウルアップ,Get up Seoul,"The serpent is an imperfect dragon and symbol\nof the Undead. Its habit of devouring prey\neven larger than itself has led to an\nassociation with gluttony.\n\nThis silver ring, engraved with the serpent,\nrewards its wearer with additional souls\nfor each kill."
123,Slumbering Dragoncrest Ring,Wearer produces no sound whatsoever,2110,-1,0,0,0,100,18,0,0,4023,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,音消去,Sound cancellation,"This ring was secretly worn by a certain\nsurreptitious sorcerer at Vinheim Dragon\nSchool.\n\nThe ring is engraved with an everlasting\ndragon in silent slumber, and masks all\nsound emitting from its wearer."
124,Ring of Fog,Reduces presence to prevent discovery,2111,-1,0,0,0,1000,38,0,0,4024,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,石コロ帽子,Stone roller hat,"Those who befriend Alvina are given this\nmysterious ring. It resembles a pearl with\nits robust pure-white fog.\n\nThe ring camouflages its wearer's\npresence, helping to prevent detection."
125,Rusted Iron Ring,Improves balance on poor footing,2120,-1,0,0,0,100,31,0,0,4025,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,剛脚,Tsuyoshiashi,"This iron ring was used to shackle the\nguilty. It is terribly rusted, and faintly\nstained with blood.\n\nThose who find this strange ring to their\nliking will be pleased to find it easier to\ngain footing on poor ground such as swamps."
126,Ring of Sacrifice,"Lose nothing upon death, but ring breaks",2130,-1,0,0,0,100,14,0,0,4026,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,復活,Resurrection,"This mystical ring was created in a\nsacrificial rite of Velka, the Goddess\nof Sin.\n\nIts wearer will lose nothing upon death,\nbut the ring itself breaks."
127,Rare Ring of Sacrifice,"Die, lose nothing, nullify curse, ring breaks",2131,-1,0,0,0,100,15,0,0,4027,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,呪いからの復活,Resurrection from curse,"This mystical ring was created in a\nsacrificial rite of Velka, the Goddess\nof Sin. The magenta-shaded ring is\nespecially rare.\n\nIts wearer will lose nothing upon death,\nand will be freed from any curse whatsoever,\nbut the ring itself breaks."
128,Dark Wood Grain Ring,Changes rolling action,2121,-1,0,0,0,100,30,0,0,4028,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,軽業,Acrobatics,"This special ring crafted in an Eastern land\nis made of gold, but with a wood grain crest\non its surface.\n\nAgents of subterfuge in this faraway land\nare particularly fond of the dark gold wood\ngrain, which greatly alters its wearer's\nrolling action."
130,Ring of the Sun Princess,Boosts miracle synergy,2140,-1,0,0,0,1000,24,0,0,4030,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,共鳴,Resonance,"This ring is granted to those who enter a\nCovenant with Gwynevere, daughter of Lord Gwyn\nand the Princess of Sunlight. This slightly\nwarm ring boosts the synergy of miracles.\n\nThe Princess of Sunlight Gwynevere left\nAnor Londo along with many other deities,\nand later became wife to Flame God Flann."
137,Old Witch's Ring,"An old ring, with no known use",2190,-1,0,0,0,1000,36,0,0,4037,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,混沌の言葉,Word of chaos,"Old ring from an old witch.\n\nEngraved minutely with indecipherable\nscript, but seemingly useless."
138,Covenant of Artorias,Traverse abyss,2200,-1,0,0,0,-1,34,0,0,4002,-1,-1,32,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,闇歩き,Darkness walk,"This ring symbolizes Knight Artorias's\ncovenant with the beasts of the Abyss.\n\nIts wearer, like Artorias himself, can\ntraverse the Abyss."
139,Orange Charred Ring,Reduces lava damage,2210,-1,0,0,0,-1,35,0,0,4003,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,溶岩歩き,Lava walk,"An orange ring enchanted by a witch.\nReduces lava damage.\n\nSince his sores were inflamed by lava\nfrom birth, his witch sisters gave him\nthis special ring. But fool that he is,\nhe readily dropped it, and from that spot,\na terrible centipede demon was born."
141,Lingering Dragoncrest Ring,Boosts length of sorcery effects,2230,-1,0,0,0,100,17,0,0,4039,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,補助魔法延長,Auxiliary magic extension,"A special ring granted to only the most\naccomplished sorcerers at Vinheim Dragon\nSchool.\n\nThe ring is engraved with a lingering\ndragon, and boosts the length of the\neffects of sorceries."
142,Ring of the Evil Eye,Absorbs HP from fallen enemies,2240,-1,0,0,0,500,40,0,0,4018,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,HPドレイン,HP drain,"According to legend, this ring contains the\nspirit of the evil eye, a dark beast which\nassaulted Astora.\n\nThe strength of the evil eye does not waver,\nand HP is absorbed from fallen enemies."
143,Ring of Favor and Protection,"Boosts HP, stamina, load. Breaks when removed.",2250,-1,0,0,0,1000,39,0,0,4029,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,TRUE,FALSE,強者の呪い,Curse of the strong,"A ring symbolizing the favor and\nprotection of the goddess Fina, known\nin legend to possess ""fateful beauty.""\n\nThis ring boosts its wearer's HP, stamina,\nand max equipment load, but breaks if\never removed."
144,Leo Ring,Boosts counter attacks of thrust weapons,2260,-1,0,0,0,100,25,0,0,4031,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,カウンター強化,Strengthening counter,One of the special rings granted to the four\nknights of Gwyn. The Leo Ring belonged to\nOrnstein the Dragonslayer.\n\nThis ring strengthens counters with pierce\nweapons. His lugged spear is said\nto have sliced a boulder in two.
145,East Wood Grain Ring,Slows loss of weapon durability,2270,-1,0,0,0,100,29,0,0,4032,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,武器を大切に,Cherish weapons,"This special ring crafted in an Eastern land\nis made of gold, but with a wood grain crest\non its surface.\n\nThe ring slows the loss of weapon durability\nand is particularly useful to bearers of\ndelicate swords crafted in the East."
146,Wolf Ring,Boosts poise,2090,-1,0,0,0,50,26,0,0,4035,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,SAアップ,SA up,"One of the special rings granted to the four\nknights of Gwyn. The Wolf Ring belongs to\nArtorias the Abysswalker.\n\nArtorias had an unbendable will of steel,\nand was unmatched with a greatsword."
147,Blue Tearstone Ring,Boosts DEF while HP is low,2290,-1,0,0,0,100,13,0,0,4036,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,ピンチ防御力アップ,Pinch Def.,The rare gem called tearstone has the\nuncanny ability to sense imminent death.\n\nThis blue tearstone from Catarina boosts the\ndefence of its wearer when in danger.
148,Ring of the Sun's Firstborn,Boosts miracles,2300,-1,0,0,0,1000,22,0,0,4011,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,奇跡威力アップ,Miracle power up,"Lord Gwyn's firstborn, who inherited the\nsunlight, once wore this ancient ring.\nBoosts the strength of miracles.\n\nLord Gwyn's firstborn was a god of war,\nbut his foolishness led to a loss of the\nannals, and rescinding of his deific status.\nToday, even his name is not known."
149,Darkmoon Seance Ring,Grants additional attunement slots,2310,-1,0,0,0,1000,21,0,0,4038,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,魔法スロットアップB,Magic slot up B,"This ring is granted to adherents of\nGwyndolin, Darkmoon deity and\nlast born of Gwyn, Lord of Sunlight.\nGrants additional magic attunement slots.\n\nThe Dark Sun Gwyndolin is the only remaining\ndeity in Anor Londo. His followers are few,\nbut their tasks are of vital importance."
150,Calamity Ring,,2350,-1,0,0,0,1000,41,0,0,4043,-1,-1,-1,0,0,0,2,0,101400,101410,101420,TRUE,FALSE,FALSE,【DLC】黒竜の指輪,Ring of [DLC] Black Dragon,
